hostname,ip_address,device_type,vendor,model,serial_number,location,rack,unit,status,last_seen,uptime_days,cpu_usage_percent,memory_usage_percent,temperature_celsius,power_consumption_watts,firmware_version,warranty_expires,purchase_date,cost_usd
rtr-hq-01.fscj.edu,10.1.1.1,router,Cisco,ISR4451,FTX1942A1B2,Headquarters,R01,1,online,2024-10-12 10:30:00,45,12,34,42,180,16.12.04,2026-08-15,2023-08-15,4500.00
rtr-hq-02.fscj.edu,10.1.1.2,router,Cisco,ISR4431,FTX1942A1C3,Headquarters,R01,2,online,2024-10-12 10:29:45,47,15,29,41,165,16.12.04,2026-07-20,2023-07-20,3800.00
sw-hq-01.fscj.edu,10.1.1.10,switch,Cisco,Catalyst3850,FCW2139L0GH,Headquarters,R02,1,online,2024-10-12 10:29:30,52,8,22,38,120,16.12.08,2027-01-10,2024-01-10,2200.00
sw-hq-02.fscj.edu,10.1.1.11,switch,Cisco,Catalyst3850,FCW2139L0GJ,Headquarters,R02,2,online,2024-10-12 10:28:55,52,11,25,39,125,16.12.08,2027-01-10,2024-01-10,2200.00
sw-hq-03.fscj.edu,10.1.1.12,switch,Cisco,Catalyst2960X,FOC1932X4D5,Headquarters,R03,1,online,2024-10-12 10:28:40,38,6,18,35,45,15.2.7E3,2026-03-15,2023-03-15,850.00
sw-hq-04.fscj.edu,10.1.1.13,switch,Cisco,Catalyst2960X,FOC1932X4D6,Headquarters,R03,2,maintenance,2024-10-12 08:15:20,38,0,0,25,0,15.2.7E3,2026-03-15,2023-03-15,850.00
fw-hq-01.fscj.edu,10.1.1.100,firewall,Fortinet,FortiGate100F,FG100F3G19123456,Headquarters,R04,1,online,2024-10-12 10:27:15,65,25,45,48,85,7.0.12,2025-12-01,2022-12-01,1200.00
ap-hq-01.fscj.edu,10.1.2.10,access_point,Ubiquiti,UniFi_AC_Pro,44D9E7123456,Headquarters,Ceiling,A1,online,2024-10-12 10:26:50,89,18,31,42,12,5.60.23,2025-09-30,2022-09-30,180.00
ap-hq-02.fscj.edu,10.1.2.11,access_point,Ubiquiti,UniFi_AC_Pro,44D9E7123457,Headquarters,Ceiling,A2,online,2024-10-12 10:26:35,89,22,28,41,14,5.60.23,2025-09-30,2022-09-30,180.00
ap-hq-03.fscj.edu,10.1.2.12,access_point,Ubiquiti,UniFi_AC_Pro,44D9E7123458,Headquarters,Ceiling,A3,offline,2024-10-12 06:42:10,89,0,0,25,0,5.60.23,2025-09-30,2022-09-30,180.00
